datetime,solar,clear_sky_solar,wind50,cloud,temp,solar_ratio,solar_effective,solar_eff_norm,wind_norm,clear_ratio_norm,renewable_index
2025-03-04 06:00:00,3.05,6.45,8.35,100.0,3.45,0.4728682170542635,0.0,0.0,0.443441317047265,0.44485469708659386,0.2220033345314983
2025-03-04 07:00:00,34.0,104.3,7.66,100.0,3.45,0.3259827420901246,0.0,0.0,0.4067976633032396,0.3066709682696196,0.18337349264489577
2025-03-04 08:00:00,61.95,264.45,7.47,100.0,3.55,0.23425978445830972,0.0,0.0,0.3967073818374934,0.22038183514205914,0.16308858157965983
2025-03-04 09:00:00,124.3,418.88,9.54,100.0,4.5,0.2967436974789916,0.0,0.0,0.5066383430695698,0.27916409454777175,0.2078243218304253
2025-03-04 10:00:00,185.23,541.6,9.1,100.0,5.85,0.34200516986706053,0.0,0.0,0.483271375464684,0.32174420008820626,0.20933025265704647
2025-03-04 11:00:00,125.43,618.38,7.94,100.0,6.81,0.2028364436107248,0.0,0.0,0.421667551779076,0.19082006661956813,0.1646642788576364
2025-03-04 12:00:00,162.65,629.97,8.46,99.89,9.08,0.25818689778878356,0.17891499999999835,0.00018418558621817972,0.4492830589484865,0.24289146545532483,0.18345530356872003
2025-03-04 13:00:00,145.15,584.4,7.35,98.97,10.87,0.24837440109514033,1.4950449999999966,0.001539086939315096,0.39033457249070636,0.23366027780751356,0.16460197077837216
2025-03-04 14:00:00,67.8,490.85,7.03,99.67,10.94,0.1381277375980442,0.22373999999999794,0.00023033106816340457,0.3733404142326076,0.12994481475455816,0.13810625275477562
2025-03-04 15:00:00,56.03,349.15,8.3,100.0,8.18,0.16047544035514824,0.0,0.0,0.4407859798194371,0.15096860147154942,0.16242951424014102
2025-03-04 16:00:00,35.4,178.02,8.55,100.0,6.2,0.1988540613414223,0.0,0.0,0.4540626659585768,0.18707360747048496,0.17363352128167003
2025-03-04 17:00:00,4.43,26.48,8.68,100.0,4.78,0.16729607250755285,0.0,0.0,0.4609665427509294,0.15738516773814806,0.16976699637290843
2025-03-05 06:00:00,2.2,8.52,7.55,100.0,1.55,0.25821596244131456,0.0,0.0,0.4009559214020181,0.2429188082682509,0.16887053807425562
2025-03-05 07:00:00,22.35,137.1,7.7,100.0,1.6,0.16301969365426697,0.0,0.0,0.4089219330855019,0.15336212886432224,0.153349005698515
2025-03-05 08:00:00,62.53,320.48,8.67,100.0,1.85,0.19511357963055417,0.0,0.0,0.46043547530536383,0.18355471827803319,0.1748415862472158
2025-03-05 09:00:00,92.65,485.02,10.48,100.0,2.01,0.19102305059585173,0.0,0.0,0.556558682952735,0.1797065191624482,0.20290890871831013
2025-03-05 10:00:00,114.2,608.5,12.68,100.0,1.74,0.18767460969597372,0.0,0.0,0.6733935209771641,0.17655644561445868,0.23732934541604098
2025-03-05 11:00:00,157.05,680.0,14.66,100.0,1.47,0.2309558823529412,0.0,0.0,0.7785448751991504,0.21727366183440203,0.2770181949266255
2025-03-05 12:00:00,194.82,692.35,16.67,99.88,1.02,0.28138947064346065,0.2337840000000175,0.00024067095038668947,0.8852894317578334,0.26471947830676273,0.3186510606638959
2025-03-05 13:00:00,188.7,644.85,18.08,96.74,0.27,0.2926261921377064,6.151620000000014,0.006332838140410204,0.960169941582581,0.2752905172480319,0.34627550499458576
2025-03-05 14:00:00,192.73,541.53,18.83,97.65,-0.49,0.35589902683138513,4.529154999999993,0.004662577585713921,1.0,0.33481496126080545,0.36929428104501805
2025-03-05 15:00:00,161.8,391.65,18.68,99.44,-1.36,0.413123962721818,0.9060800000000081,0.0009327718523353062,0.9920339883165162,0.3886497943141274,0.37580654128394797
2025-03-05 16:00:00,83.38,209.48,18.02,99.99,-2.32,0.3980332251288906,0.008338000000008339,8.583625844052943e-06,0.9569835369091876,0.374453057763435,0.36198996443836534
2025-03-05 17:00:00,12.85,35.58,17.2,99.81,-3.27,0.36115795390668914,0.024415000000000162,2.513423182805762e-05,0.9134360063728094,0.33976234052359144,0.3419958371324751
2025-03-06 06:00:00,12.4,12.98,8.71,9.95,-6.14,0.9553158705701078,11.1662,0.011495140669197424,0.4625597450876262,0.8987213284747223,0.3242597595558311
2025-03-06 07:00:00,151.35,167.65,9.65,18.24,-4.55,0.9027736355502535,123.74376,0.1273890784810773,0.5124800849707913,0.8492917851029635,0.38729692175236874
