datetime,solar,clear_sky_solar,wind50,cloud,temp,solar_ratio,solar_effective,solar_eff_norm,wind_norm,clear_ratio_norm,renewable_index,carbon_intensity,carbon_norm,green_score
2025-03-04 06:00:00,3.05,6.45,8.35,100.0,3.45,0.4728682170542635,0.0,0.0,0.443441317047265,0.4448546970865938,0.2220033345314983,387.4972941212852,0.3398757315262328,0.29272677272833897
2025-03-04 07:00:00,34.0,104.3,7.66,100.0,3.45,0.3259827420901246,0.0,0.0,0.4067976633032396,0.3066709682696196,0.1833734926448957,380.8870015006865,0.3695633621635789,0.2950874143561056
2025-03-04 08:00:00,61.95,264.45,7.47,100.0,3.55,0.2342597844583097,0.0,0.0,0.3967073818374934,0.2203818351420591,0.1630885815796598,378.5063453235048,0.3802551795034723,0.2933885403339473
2025-03-04 09:00:00,124.3,418.88,9.54,100.0,4.5,0.2967436974789916,0.0,0.0,0.5066383430695698,0.2791640945477717,0.2078243218304253,380.4702765358503,0.3714349248225247,0.30599068362568493
2025-03-04 10:00:00,185.23,541.6,9.1,100.0,5.85,0.3420051698670605,0.0,0.0,0.483271375464684,0.3217442000882062,0.2093302526570464,378.8344217574605,0.37878174821213356,0.3110011499900987
2025-03-04 11:00:00,125.43,618.38,7.94,100.0,6.81,0.2028364436107248,0.0,0.0,0.421667551779076,0.1908200666195681,0.1646642788576364,379.0045395590143,0.37801772841040376,0.2926763485892968
2025-03-04 12:00:00,162.65,629.97,8.46,99.89,9.08,0.2581868977887835,0.1789149999999983,0.0001841855862181,0.4492830589484865,0.2428914654553248,0.18345530356872,366.8658799259776,0.4325339297802329,0.3329024792956278
2025-03-04 13:00:00,145.15,584.4,7.35,98.97,10.87,0.2483744010951403,1.4950449999999966,0.001539086939315,0.3903345724907063,0.2336602778075135,0.1646019707783721,373.2931497457579,0.4036682768707682,0.30804175443380977
2025-03-04 14:00:00,67.8,490.85,7.03,99.67,10.94,0.1381277375980442,0.2237399999999979,0.0002303310681634,0.3733404142326076,0.1299448147545581,0.1381062527547756,371.4666183278487,0.41187145231165867,0.30236537248890544
2025-03-04 15:00:00,56.03,349.15,8.3,100.0,8.18,0.1604754403551482,0.0,0.0,0.4407859798194371,0.1509686014715494,0.162429514240141,370.737615905104,0.41514549113298627,0.31405910037584817
2025-03-04 16:00:00,35.4,178.02,8.55,100.0,6.2,0.1988540613414223,0.0,0.0,0.4540626659585768,0.1870736074704849,0.17363352128167,383.53913507142255,0.3576523067280653,0.28404479254950715
2025-03-04 17:00:00,4.43,26.48,8.68,100.0,4.78,0.1672960725075528,0.0,0.0,0.4609665427509294,0.157385167738148,0.1697669963729084,383.78232834974847,0.35656009604469446,0.28184285617598004
2025-03-05 06:00:00,2.2,8.52,7.55,100.0,1.55,0.2582159624413145,0.0,0.0,0.4009559214020181,0.2429188082682509,0.1688705380742556,348.6113898451611,0.5145170718432074,0.37625845833562666
2025-03-05 07:00:00,22.35,137.1,7.7,100.0,1.6,0.1630196936542669,0.0,0.0,0.4089219330855019,0.1533621288643222,0.153349005698515,342.6377033982289,0.5413456264864934,0.38614697817130206
2025-03-05 08:00:00,62.53,320.48,8.67,100.0,1.85,0.1951135796305541,0.0,0.0,0.4604354753053638,0.1835547182780331,0.1748415862472158,337.77928342125216,0.5631653833468977,0.4078358645070249
2025-03-05 09:00:00,92.65,485.02,10.48,100.0,2.01,0.1910230505958517,0.0,0.0,0.556558682952735,0.1797065191624482,0.2029089087183101,332.0616570327553,0.5888439410275503,0.43446992810385426
2025-03-05 10:00:00,114.2,608.5,12.68,100.0,1.74,0.1876746096959737,0.0,0.0,0.6733935209771641,0.1765564456144586,0.2373293454160409,329.9134655299039,0.5984917311535437,0.4540267768585426
2025-03-05 11:00:00,157.05,680.0,14.66,100.0,1.47,0.2309558823529412,0.0,0.0,0.7785448751991504,0.217273661834402,0.2770181949266255,334.06958256694827,0.5798261024797287,0.4587029394584874
2025-03-05 12:00:00,194.82,692.35,16.67,99.88,1.02,0.2813894706434606,0.2337840000000175,0.0002406709503866,0.8852894317578334,0.2647194783067627,0.3186510606638959,352.4811060987756,0.497137704029648,0.42574304668334717
2025-03-05 13:00:00,188.7,644.85,18.08,96.74,0.27,0.2926261921377064,6.151620000000014,0.0063328381404102,0.960169941582581,0.2752905172480319,0.3462755049945857,366.33972358448506,0.4348969621027435,0.3994483792594804
2025-03-05 14:00:00,192.73,541.53,18.83,97.65,-0.49,0.3558990268313851,4.529154999999993,0.0046625775857139,1.0,0.3348149612608054,0.369294281045018,371.9425045765815,0.409734189108855,0.39355822588332023
2025-03-05 15:00:00,161.8,391.65,18.68,99.44,-1.36,0.413123962721818,0.906080000000008,0.0009327718523353,0.9920339883165162,0.3886497943141274,0.3758065412839479,361.1790328830454,0.4580742536647696,0.425167168712441
2025-03-05 16:00:00,83.38,209.48,18.02,99.99,-2.32,0.3980332251288906,0.0083380000000083,8.583625844052943e-06,0.9569835369091876,0.374453057763435,0.3619899644383653,354.37644005402683,0.4886255279994103,0.4379713025749923
2025-03-05 17:00:00,12.85,35.58,17.2,99.81,-3.27,0.3611579539066891,0.0244150000000001,2.513423182805762e-05,0.9134360063728094,0.3397623405235914,0.3419958371324751,349.38335455124127,0.5110500841658753,0.44342838535251516
2025-03-06 06:00:00,12.4,12.98,8.71,9.95,-6.14,0.9553158705701078,11.1662,0.0114951406691974,0.4625597450876262,0.8987213284747223,0.3242597595558311,367.2859678282672,0.430647263758894,0.38809226207766884
2025-03-06 07:00:00,151.35,167.65,9.65,18.24,-4.55,0.9027736355502536,123.74376,0.1273890784810773,0.5124800849707913,0.8492917851029635,0.3872969217523687,367.1079699071353,0.43144667413905047,0.41378677318437773
2025-03-06 08:00:00,333.35,364.9,9.52,18.95,-2.57,0.9135379556042752,270.180175,0.2781393059101017,0.5055762081784387,0.8594184084713207,0.4626261971028466,372.8638913492766,0.40559612870035344,0.42840815606135074
2025-03-06 09:00:00,491.4,534.4,9.08,20.46,-0.77,0.9195359281437124,390.85956,0.402373737180116,0.4822092405735529,0.865061050884014,0.5188618509389267,374.435567391626,0.39853753984432655,0.44666726428216663
2025-03-06 10:00:00,608.75,658.65,8.6,21.87,0.87,0.9242389736582404,475.616375,0.4896273696690685,0.4567180031864047,0.8694854799581077,0.5557261817820772,377.0322791194446,0.38687539066700927,0.45441570711303647
